area_code,measure_a,measure_b
E02000377,61.8,28.28695612
E02000378,60.7,23.67004651
E02000379,70.3,19.27169334
E02000380,68.5,17.50136722
E02000381,62.5,20.11097789
E02000382,68.8,21.62350389
E02000383,60.8,17.56270872
E02000384,63.8,32.95610309
E02000385,61.5,17.25084343
E02000386,57.2,30.90468431
E02000387,61.7,22.14087993
E02000388,65.1,19.70441608
E02000389,67.9,11.32799016
E02000390,61.9,18.4755166
E02000391,68.6,17.44029519
E02000392,65.9,17.88842457
E02000393,66.2,9.297754902
E02000394,64.2,19.70461154
E02000395,71.6,10.78886753
E02000396,68.8,18.11127879
E02000397,62.1,26.15482083
E02000398,55.2,49.73926439
E02000400,66.6,21.73250911
E02000401,60.9,43.11291889
E02000402,59,41.39051429
E02000403,58.6,25.14677258
E02000404,56.4,31.82471405
E02000405,81.6,11.86962545
E02000406,59.8,33.5264641
E02000407,57.4,40.34503502
E02000408,58,37.74927443
E02000409,63.4,39.80983962
E02000410,80.8,11.07204717
E02000411,60.2,32.82515802
E02000412,59.7,34.36582609
E02000413,79,15.14302187
E02000414,58.8,29.47818581
E02000415,60.3,27.36343738
E02000416,71.5,28.274187
E02000417,81.8,13.70292198
E02000418,83.1,11.93660821
E02000419,62.1,25.24468995
E02000420,64.2,36.06057901
E02000421,60.4,41.38769234
E02000422,57.4,29.5572872
E02000423,59.3,23.01422983
E02000424,74.5,19.60835285
E02000425,47.2,27.75180733
E02000426,78.9,15.29275209
E02000427,62.8,25.72474003
E02000428,59.6,31.03907578
E02000429,79.7,13.4351885
E02000430,75.9,15.08218204
E02000431,79.8,13.94456138
E02000432,68.3,23.3377159
E02000433,75.9,12.48209295
E02000434,69.9,14.77928508
E02000435,73.5,20.20159535
E02000436,86.7,7.798958945
E02000437,73.9,16.72362466
E02000438,77.2,17.7924728
E02000439,61.6,18.49153883
E02000440,74.8,10.34400541
E02000441,79.9,16.71795203
E02000442,59,14.42063599
E02000443,64.9,22.04779187
E02000444,66.9,11.77786923
E02000445,64.9,21.70237862
E02000447,78.4,12.47077544
E02000448,85.1,6.75395376
E02000449,64.3,18.32467674
E02000451,82.1,7.442853753
E02000452,62.7,17.7143932
E02000453,70,12.56025108
E02000454,84.7,5.780740514
E02000455,69,17.89532377
E02000456,71.6,14.76181632
E02000457,77.1,11.88986449
E02000459,69.5,20.52602133
E02000460,71,22.8510537
E02000461,70.3,9.606814902
